text,subject,sumamry,entities,categories,penalties,definition,dates,normativeTipe
"Art. 101. O Supremo Tribunal Federal compõe-se de onze Ministros, escolhidos
dentre cidadãos com mais de trinta e cinco e menos de sessenta e cinco anos de idade,
de notável saber jurídico e reputação ilibada.
Parágrafo único. Os Ministros do Supremo Tribunal Federal serão nomeados pelo
Presidente da República, depois de aprovada a escolha pela maioria absoluta do Senado
Federal.",Ministros Do Supremo Tribunal Federal,"O Supremo Tribunal Federal é composto por 11 ministros, escolhidos entre cidadãos com mais de 35 e menos de 65 anos. Eles devem ter conhecimento jurídico notável e uma reputação imaculada. Os ministros são nomeados pelo presidente da República após aprovação do Senado Federal por maioria absoluta.","Supremo Tribunal Federal, Senado Federal, Presidente da República.","Direito Constitucional, Direito Administrativo",-,1. saber jurídico: conhecimento técnico e especializado sobre direito,,Decreto
"Art. 102. Compete ao Supremo Tribunal Federal, precipuamente, a guarda da Cons-
tituição, cabendo-lhe: (EC no 3/93, EC no 22/99, EC no 23/99 e EC no 45/2004)
5 NE: leia-se “da Emenda Constitucional no 62, de 2009”.
68 Constituição da República Federativa do Brasil
I – processar e julgar, originariamente:
a) a ação direta de inconstitucionalidade de lei ou ato normativo federal ou esta-
dual e a ação declaratória de constitucionalidade de lei ou ato normativo federal;
b) nas infrações penais comuns, o Presidente da República, o Vice-Presidente,
os membros do Congresso Nacional, seus próprios Ministros e o Procurador-
-Geral da República;
c) nas infrações penais comuns e nos crimes de responsabilidade, os Ministros de
Estado e os Comandantes da Marinha, do Exército e da Aeronáutica, ressalvado
o disposto no art. 52, I, os membros dos Tribunais Superiores, os do Tribunal
de Contas da União e os chefes de missão diplomática de caráter permanente;
d) o habeas corpus, sendo paciente qualquer das pessoas referidas nas alíneas
anteriores; o mandado de segurança e o habeas data contra atos do Presidente
da República, das Mesas da Câmara dos Deputados e do Senado Federal, do
Tribunal de Contas da União, do Procurador-Geral da República e do próprio
Supremo Tribunal Federal;
e) o litígio entre Estado estrangeiro ou organismo internacional e a União, o
Estado, o Distrito Federal ou o Território;
f) as causas e os conflitos entre a União e os Estados, a União e o Distrito Fede-
ral, ou entre uns e outros, inclusive as respectivas entidades da administração
indireta;
g) a extradição solicitada por Estado estrangeiro;
h) (Revogada);
i) o habeas corpus, quando o coator for Tribunal Superior ou quando o coator ou
o paciente for autoridade ou funcionário cujos atos estejam sujeitos diretamente
à jurisdição do Supremo Tribunal Federal, ou se trate de crime sujeito à mesma
jurisdição em uma única instância;
j) a revisão criminal e a ação rescisória de seus julgados;
l) a reclamação para a preservação de sua competência e garantia da autoridade
de suas decisões;
m) a execução de sentença nas causas de sua competência originária, facultada
a delegação de atribuições para a prática de atos processuais;
n) a ação em que todos os membros da magistratura sejam direta ou indireta-
mente interessados, e aquela em que mais da metade dos membros do tribunal
de origem estejam impedidos ou sejam direta ou indiretamente interessados;
o) os conflitos de competência entre o Superior Tribunal de Justiça e quaisquer
tribunais, entre Tribunais Superiores, ou entre estes e qualquer outro tribunal;
p) o pedido de medida cautelar das ações diretas de inconstitucionalidade;
q) o mandado de injunção, quando a elaboração da norma regulamentadora for
atribuição do Presidente da República, do Congresso Nacional, da Câmara dos
Deputados, do Senado Federal, das Mesas de uma dessas Casas Legislativas, do
Tribunal de Contas da União, de um dos Tribunais Superiores, ou do próprio
Supremo Tribunal Federal;
r) as ações contra o Conselho Nacional de Justiça e contra o Conselho Nacional
do Ministério Público;
II – julgar, em recurso ordinário:
Da Organização dos Poderes 69
a) o habeas corpus, o mandado de segurança, o habeas data e o mandado de
injunção decididos em única instância pelos Tribunais Superiores, se denega-
tória a decisão;
b) o crime político;
III – julgar, mediante recurso extraordinário, as causas decididas em única ou
última instância, quando a decisão recorrida:
a) contrariar dispositivo desta Constituição;
b) declarar a inconstitucionalidade de tratado ou lei federal;
c) julgar válida lei ou ato de governo local contestado em face desta Constituição;
d) julgar válida lei local contestada em face de lei federal.
§ 1o A argüição de descumprimento de preceito fundamental, decorrente desta
Constituição, será apreciada pelo Supremo Tribunal Federal, na forma da lei.
§ 2o As decisões definitivas de mérito, proferidas pelo Supremo Tribunal Federal, nas
ações diretas de inconstitucionalidade e nas ações declaratórias de constitucionalidade
produzirão eficácia contra todos e efeito vinculante, relativamente aos demais órgãos do
Poder Judiciário e à administração pública direta e indireta, nas esferas federal, estadual
e municipal.
§ 3o No recurso extraordinário o recorrente deverá demonstrar a repercussão geral
das questões constitucionais discutidas no caso, nos termos da lei, a fim de que o Tri-
bunal examine a admissão do recurso, somente podendo recusá-lo pela manifestação
de dois terços de seus membros.",Constituição da República Federativa do Brasil,O Supremo Tribunal Federal (STF) é responsável por,"Supremo Tribunal Federal, Conselho Nacional de Justiça, Congresso Nacional.","Direito Constitucional, Direito Processual","Multas, prisão e advertências.","1. Ações diretas de inconstitucionalidade - Procedimento judicial pelo qual uma das partes apresenta uma ação contra outra, com base na inconstitucionalidade de uma lei ou ato normativo",,Lei
"Art. 103. Podem propor a ação direta de inconstitucionalidade e a ação declaratória
de constitucionalidade: (EC no 3/93 e EC no 45/2004)
I – o Presidente da República;
II – a Mesa do Senado Federal;
III – a Mesa da Câmara dos Deputados;
IV – a Mesa de Assembléia Legislativa ou da Câmara Legislativa do Distrito Federal;
V – o Governador de Estado ou do Distrito Federal;
VI – o Procurador-Geral da República;
VII – o Conselho Federal da Ordem dos Advogados do Brasil;
VIII – partido político com representação no Congresso Nacional;
IX – confederação sindical ou entidade de classe de âmbito nacional.
§ 1o O Procurador-Geral da República deverá ser previamente ouvido nas ações de
inconstitucionalidade e em todos os processos de competência do Supremo Tribunal
Federal.
§ 2o Declarada a inconstitucionalidade por omissão de medida para tornar efetiva
norma constitucional, será dada ciência ao Poder competente para a adoção das provi-
dências necessárias e, em se tratando de órgão administrativo, para fazê-lo em trinta dias.
§ 3o Quando o Supremo Tribunal Federal apreciar a inconstitucionalidade, em tese,
de norma legal ou ato normativo, citará, previamente, o Advogado-Geral da União, que
defenderá o ato ou texto impugnado.
§ 4o (Revogado)
70 Constituição da República Federativa do Brasil",Proposição da Ações Constitucionais,Aqui está um resumo do artigo,"Presidente da República, Mesa do Senado Federal, Procurador-Geral da República.","Direito Constitucional, Direito Administrativo","Multas, prisão e advertências.","1. Ação direta de inconstitucionalidade: é um recurso jurídico que visa a impugnar a constitucionalidade de uma lei, ato normativo ou medida administrativa",,Retorno: Instrução Normativa
"Art. 103-A. O Supremo Tribunal Federal poderá, de ofício ou por provocação, me-
diante decisão de dois terços dos seus membros, após reiteradas decisões sobre matéria
constitucional, aprovar súmula que, a partir de sua publicação na imprensa oficial, terá
efeito vinculante em relação aos demais órgãos do Poder Judiciário e à administração
pública direta e indireta, nas esferas federal, estadual e municipal, bem como proceder
à sua revisão ou cancelamento, na forma estabelecida em lei. (EC no 45/2004)
§ 1o A súmula terá por objetivo a validade, a interpretação e a eficácia de normas
determinadas, acerca das quais haja controvérsia atual entre órgãos judiciários ou en-
tre esses e a administração pública que acarrete grave insegurança jurídica e relevante
multiplicação de processos sobre questão idêntica.
§ 2o Sem prejuízo do que vier a ser estabelecido em lei, a aprovação, revisão ou
cancelamento de súmula poderá ser provocada por aqueles que podem propor a ação
direta de inconstitucionalidade.
§ 3o Do ato administrativo ou decisão judicial que contrariar a súmula aplicável ou que
indevidamente a aplicar, caberá reclamação ao Supremo Tribunal Federal que, julgando-a
procedente, anulará o ato administrativo ou cassará a decisão judicial reclamada, e de-
terminará que outra seja proferida com ou sem a aplicação da súmula, conforme o caso.",Aprova súmula vinculante do Supremo Tribunal Federal (EC nº45/2004) 8 palavras,"O Supremo Tribunal Federal (STF) pode aprovar súmulas, que são decisões vinculantes sobre questões jurídicas. Essas súmulas têm efeito em todo o país e podem ser revisadas ou canceladas se necessário. A aprovação de uma súmula é feita com a maioria dos membros do STF (dois terços).","Supremo Tribunal Federal, Poder Judiciário e Administração pública.","Direito Constitucional, Direito Administrativo e Direito Processual",Multas.,1. Termo: Decisão,,Decreto
"Art. 103-B. O Conselho Nacional de Justiça compõe-se de 15 (quinze) membros
com mandato de 2 (dois) anos, admitida 1 (uma) recondução, sendo: (EC no 45/2004
e EC no 61/2009)
I – o Presidente do Supremo Tribunal Federal;
II – um Ministro do Superior Tribunal de Justiça, indicado pelo respectivo tribunal;
III – um Ministro do Tribunal Superior do Trabalho, indicado pelo respectivo
tribunal;
IV – um desembargador de Tribunal de Justiça, indicado pelo Supremo Tribunal
Federal;
V – um juiz estadual, indicado pelo Supremo Tribunal Federal;
VI – um juiz de Tribunal Regional Federal, indicado pelo Superior Tribunal de
Justiça;
VII – um juiz federal, indicado pelo Superior Tribunal de Justiça;
VIII – um juiz de Tribunal Regional do Trabalho, indicado pelo Tribunal Superior
do Trabalho;
IX – um juiz do trabalho, indicado pelo Tribunal Superior do Trabalho;
X – um membro do Ministério Público da União, indicado pelo Procurador-Geral
da República;
XI – um membro do Ministério Público estadual, escolhido pelo Procurador-Geral
da República dentre os nomes indicados pelo órgão competente de cada instituição
estadual;
XII – dois advogados, indicados pelo Conselho Federal da Ordem dos Advogados
do Brasil;
XIII – dois cidadãos, de notável saber jurídico e reputação ilibada, indicados um
pela Câmara dos Deputados e outro pelo Senado Federal.
§ 1o O Conselho será presidido pelo Presidente do Supremo Tribunal Federal e, nas
suas ausências e impedimentos, pelo Vice-Presidente do Supremo Tribunal Federal.
Da Organização dos Poderes 71
§ 2o Os demais membros do Conselho serão nomeados pelo Presidente da República,
depois de aprovada a escolha pela maioria absoluta do Senado Federal.
§ 3o Não efetuadas, no prazo legal, as indicações previstas neste artigo, caberá a
escolha ao Supremo Tribunal Federal.
§ 4o Compete ao Conselho o controle da atuação administrativa e financeira do Poder
Judiciário e do cumprimento dos deveres funcionais dos juízes, cabendo-lhe, além de
outras atribuições que lhe forem conferidas pelo Estatuto da Magistratura:
I – zelar pela autonomia do Poder Judiciário e pelo cumprimento do Estatuto da
Magistratura, podendo expedir atos regulamentares, no âmbito de sua competência, ou
recomendar providências;
II – zelar pela observância do art. 37 e apreciar, de ofício ou mediante provoca-
ção, a legalidade dos atos administrativos praticados por membros ou órgãos do Poder
Judiciário, podendo desconstituí-los, revê-los ou fixar prazo para que se adotem as
providências necessárias ao exato cumprimento da lei, sem prejuízo da competência
do Tribunal de Contas da União;
III – receber e conhecer das reclamações contra membros ou órgãos do Poder
Judiciário, inclusive contra seus serviços auxiliares, serventias e órgãos prestadores de
serviços notariais e de registro que atuem por delegação do poder público ou oficiali-
zados, sem prejuízo da competência disciplinar e correicional dos tribunais, podendo
avocar processos disciplinares em curso e determinar a remoção, a disponibilidade ou a
aposentadoria com subsídios ou proventos proporcionais ao tempo de serviço e aplicar
outras sanções administrativas, assegurada ampla defesa;
IV – representar ao Ministério Público, no caso de crime contra a administração
pública ou de abuso de autoridade;
V – rever, de ofício ou mediante provocação, os processos disciplinares de juízes
e membros de tribunais julgados há menos de um ano;
VI – elaborar semestralmente relatório estatístico sobre processos e sentenças
prolatadas, por unidade da Federação, nos diferentes órgãos do Poder Judiciário;
VII – elaborar relatório anual, propondo as providências que julgar necessárias,
sobre a situação do Poder Judiciário no País e as atividades do Conselho, o qual deve
integrar mensagem do Presidente do Supremo Tribunal Federal a ser remetida ao Con-
gresso Nacional, por ocasião da abertura da sessão legislativa.
§ 5o O Ministro do Superior Tribunal de Justiça exercerá a função de Ministro-
-Corregedor e ficará excluído da distribuição de processos no Tribunal, competindo-lhe,
além das atribuições que lhe forem conferidas pelo Estatuto da Magistratura, as seguintes:
I – receber as reclamações e denúncias, de qualquer interessado, relativas aos
magistrados e aos serviços judiciários;
II – exercer funções executivas do Conselho, de inspeção e de correição geral;
III – requisitar e designar magistrados, delegando-lhes atribuições, e requisitar
servidores de juízos ou tribunais, inclusive nos Estados, Distrito Federal e Territórios.
§ 6o Junto ao Conselho oficiarão o Procurador-Geral da República e o Presidente do
Conselho Federal da Ordem dos Advogados do Brasil.
§ 7o A União, inclusive no Distrito Federal e nos Territórios, criará ouvidorias de
justiça, competentes para receber reclamações e denúncias de qualquer interessado
contra membros ou órgãos do Poder Judiciário, ou contra seus serviços auxiliares, re-
presentando diretamente ao Conselho Nacional de Justiça.
72 Constituição da República Federativa do Brasil
SEÇÃO III –
Do Superior Tribunal de Justiça","Conselho Nacional da Justiça Composition Membros e Mandato Temporário (2 anos) Reconcão Aumentada 1 vez por mandado único, sendo aposentadoria compulsória aos membros do Conselho após atingir o limite de idade legal para exercer cargo público federal","O Conselho Nacional de Justiça é composto por 15 membros, incluindo o Presidente do Supremo Tribunal Federal e outros representantes de diferentes órgãos judiciários. O conselho tem como objetivo controlar a atuação administrativa e financeira do Poder Judiciário e garantir que os juízes cumpram suas funções","Poder Judiciário, Conselho Nacional de Justiça, Supremo Tribunal Federal, Superior Tribunal de Justiça, Ministério Público da União.",Direito Administrativo,"Multas, prisão e advertências.",1. Termo: Mandato - Refere-se ao período temporário que um membro do Conselho Nacional de Justiça cumprirá antes de se tornar inativo,15 anos,Resposta correta
"Art. 104. O Superior Tribunal de Justiça compõe-se de, no mínimo, trinta e três
Ministros. (EC no 45/2004)
Parágrafo único. Os Ministros do Superior Tribunal de Justiça serão nomeados pelo
Presidente da República, dentre brasileiros com mais de trinta e cinco e menos de ses-
senta e cinco anos, de notável saber jurídico e reputação ilibada, depois de aprovada a
escolha pela maioria absoluta do Senado Federal, sendo:
I – um terço dentre juízes dos Tribunais Regionais Federais e um terço dentre
desembargadores dos Tribunais de Justiça, indicados em lista tríplice elaborada pelo
próprio Tribunal;
II – um terço, em partes iguais, dentre advogados e membros do Ministério Pú-
blico Federal, Estadual, do Distrito Federal e Territórios, alternadamente, indicados na
forma do art. 94.",Superior Tribunal da Justiça - Composição e Nomeação dos Ministros,"O Superior Tribunal de Justiça (STJ) é composto por pelo menos 33 ministros. Para ser nomeado, um ministro deve ter mais de 35 anos e saber juridicamente, além de ter uma reputação limpa. A escolha dos ministros é feita pela maioria absoluta do Senado Federal após a aprovação da lista tríplice proposta pelo próprio Tribunal.","Superior Tribunal de Justiça, Senado Federal.","Direito Constitucional, Direito Administrativo","Multa (não especificada), prisão (não mencionada) e advertências (-).",1. Termo: EC (Exequível Constitucional,,Decreto Normativo
"Art. 105. Compete ao Superior Tribunal de Justiça: (EC no 22/99, EC no 23/99 e
EC no 45/2004)
I – processar e julgar, originariamente:
a) nos crimes comuns, os Governadores dos Estados e do Distrito Federal, e, nestes
e nos de responsabilidade, os desembargadores dos Tribunais de Justiça dos Es-
tados e do Distrito Federal, os membros dos Tribunais de Contas dos Estados e
do Distrito Federal, os dos Tribunais Regionais Federais, dos Tribunais Regionais
Eleitorais e do Trabalho, os membros dos Conselhos ou Tribunais de Contas dos
Municípios e os do Ministério Público da União que oficiem perante tribunais;
b) os mandados de segurança e os habeas data contra ato de Ministro de Estado,
dos Comandantes da Marinha, do Exército e da Aeronáutica ou do próprio
Tribunal;
c) os habeas corpus, quando o coator ou paciente for qualquer das pessoas men-
cionadas na alínea “a”, ou quando o coator for tribunal sujeito à sua jurisdição,
Ministro de Estado ou Comandante da Marinha, do Exército ou da Aeronáutica,
ressalvada a competência da Justiça Eleitoral;
d) os conflitos de competência entre quaisquer tribunais, ressalvado o disposto
no art. 102, I, “o”, bem como entre tribunal e juízes a ele não vinculados e entre
juízes vinculados a tribunais diversos;
e) as revisões criminais e as ações rescisórias de seus julgados;
f) a reclamação para a preservação de sua competência e garantia da autoridade
de suas decisões;
g) os conflitos de atribuições entre autoridades administrativas e judiciárias da
União, ou entre autoridades judiciárias de um Estado e administrativas de outro
ou do Distrito Federal, ou entre as deste e da União;
h) o mandado de injunção, quando a elaboração da norma regulamentadora for
atribuição de órgão, entidade ou autoridade federal, da administração direta
ou indireta, excetuados os casos de competência do Supremo Tribunal Federal
e dos órgãos da Justiça Militar, da Justiça Eleitoral, da Justiça do Trabalho e da
Justiça Federal;
i) a homologação de sentenças estrangeiras e a concessão de exequatur às cartas
rogatórias;
Da Organização dos Poderes 73
II – julgar, em recurso ordinário:
a) os habeas corpus decididos em única ou última instância pelos Tribunais Regio-
nais Federais ou pelos tribunais dos Estados, do Distrito Federal e Territórios,
quando a decisão for denegatória;
b) os mandados de segurança decididos em única instância pelos Tribunais Regio-
nais Federais ou pelos tribunais dos Estados, do Distrito Federal e Territórios,
quando denegatória a decisão;
c) as causas em que forem partes Estado estrangeiro ou organismo internacional,
de um lado, e, do outro, Município ou pessoa residente ou domiciliada no País;
III – julgar, em recurso especial, as causas decididas, em única ou última instância,
pelos Tribunais Regionais Federais ou pelos tribunais dos Estados, do Distrito Federal
e Territórios, quando a decisão recorrida:
a) contrariar tratado ou lei federal, ou negar-lhes vigência;
b) julgar válido ato de governo local contestado em face de lei federal;
c) der a lei federal interpretação divergente da que lhe haja atribuído outro tribunal.
Parágrafo único. Funcionarão junto ao Superior Tribunal de Justiça:
I – a Escola Nacional de Formação e Aperfeiçoamento de Magistrados, cabendo-
-lhe, dentre outras funções, regulamentar os cursos oficiais para o ingresso e promoção
na carreira;
II – o Conselho da Justiça Federal, cabendo-lhe exercer, na forma da lei, a supervisão
administrativa e orçamentária da Justiça Federal de primeiro e segundo graus, como órgão
central do sistema e com poderes correicionais, cujas decisões terão caráter vinculante.
SEÇÃO IV –
Dos Tribunais Regionais Federais e dos Juízes Federais",Compete ao Superior Tribunal da Justiça,O Superior Tribunal de Justiça (STJ) tem competência para processar e julgar casos envolvendo,"Superior Tribunal de Justiça, Escola Nacional de Formação e Aperfeiçoamento de Magistrados, Conselho da Justiça Federal.","Direito Constitucional, Direito Administrativo","Multas, prisão.",1. EC - Exequibilidade Conforme,22/99,Lei
"Art. 106. São órgãos da Justiça Federal:
I – os Tribunais Regionais Federais;
II – os Juízes Federais.",Órgãos da Justiça Federal,"Os Tribunais Regionais Federais (TRFs) são órgãos da Justiça Federal. Além disso, os Juízes Federais também fazem parte desse quadro jurisdicional.","Tribunais Regionais Federais, Juízes Federais.","Direito Federal, Direito Administrativo",- Multas,1. Tribunais Regionais Federais - São tribunais regionais federais são órgãos da Justiça Federal que têm competência para julgar questões relacionadas a matérias específicas de interesse federal,,Decreto
"Art. 107. Os Tribunais Regionais Federais compõem-se de, no mínimo, sete juízes,
recrutados, quando possível, na respectiva região e nomeados pelo Presidente da Re-
pública dentre brasileiros com mais de trinta e menos de sessenta e cinco anos, sendo:
(EC no 45/2004)
I – um quinto dentre advogados com mais de dez anos de efetiva atividade pro-
fissional e membros do Ministério Público Federal com mais de dez anos de carreira;
II – os demais, mediante promoção de juízes federais com mais de cinco anos de
exercício, por antiguidade e merecimento, alternadamente.
§ 1o A lei disciplinará a remoção ou a permuta de juízes dos Tribunais Regionais
Federais e determinará sua jurisdição e sede.
§ 2o Os Tribunais Regionais Federais instalarão a justiça itinerante, com a realização
de audiências e demais funções da atividade jurisdicional, nos limites territoriais da
respectiva jurisdição, servindo-se de equipamentos públicos e comunitários.
§ 3o Os Tribunais Regionais Federais poderão funcionar descentralizadamente,
constituindo Câmaras regionais, a fim de assegurar o pleno acesso do jurisdicionado à
justiça em todas as fases do processo.
74 Constituição da República Federativa do Brasil",Tribunais Regionais Fedrais Composição Judiciária,"Os Tribunais Regionais Federais são compostos por pelo menos 7 juízes. Eles devem ser brasileiros com mais de 30 anos e menores de 65 anos, escolhidos pelo presidente da República entre advogados ou membros do Ministério Público Federal. Os juízes podem ser nomeados após promoção de outros juízes federais.","Tribunais Regionais Federais, Ministério Público Federal, Presidente da República.","Direito Constitucional, Direito Administrativo",Multas.,"1. Termo: Recrutamento - Refere-se ao processo sistemático e objetivo de identificar, avaliar e selecionar candidatos para um cargo ou função, com base em critérios específicos",,Decreto
"Art. 108. Compete aos Tribunais Regionais Federais:
I – processar e julgar, originariamente:
a) os juízes federais da área de sua jurisdição, incluídos os da Justiça Militar e da
Justiça do Trabalho, nos crimes comuns e de responsabilidade, e os membros
do Ministério Público da União, ressalvada a competência da Justiça Eleitoral;
b) as revisões criminais e as ações rescisórias de julgados seus ou dos juízes
federais da região;
c) os mandados de segurança e os habeas data contra ato do próprio Tribunal
ou de juiz federal;
d) os habeas corpus, quando a autoridade coatora for juiz federal;
e) os conflitos de competência entre juízes federais vinculados ao Tribunal;
II – julgar, em grau de recurso, as causas decididas pelos juízes federais e pelos
juízes estaduais no exercício da competência federal da área de sua jurisdição.",Competência dos Tribunais Regionais Federais,"Os Tribunais Regionais Federais têm competência para processar e julgar certos casos, incluindo","Tribunal Regionais Federais, Justiça Militar, Ministério Público da União.","Direito Processual,","Multa, prisão.",1.  Termo: Justiça Eleitoral,12/03/2021  30/04/2024,Decreto
"Art. 109. Aos juízes federais compete processar e julgar: (EC no 45/2004)
I – as causas em que a União, entidade autárquica ou empresa pública federal forem
interessadas na condição de autoras, rés, assistentes ou oponentes, exceto as de falência,
as de acidentes de trabalho e as sujeitas à Justiça Eleitoral e à Justiça do Trabalho;
II – as causas entre Estado estrangeiro ou organismo internacional e Município
ou pessoa domiciliada ou residente no País;
III – as causas fundadas em tratado ou contrato da União com Estado estrangeiro
ou organismo internacional;
IV – os crimes políticos e as infrações penais praticadas em detrimento de bens,
serviços ou interesse da União ou de suas entidades autárquicas ou empresas públicas,
excluídas as contravenções e ressalvada a competência da Justiça Militar e da Justiça
Eleitoral;
V – os crimes previstos em tratado ou convenção internacional, quando, iniciada
a execução no País, o resultado tenha ou devesse ter ocorrido no estrangeiro, ou reci-
procamente;
V-A – as causas relativas a direitos humanos a que se refere o § 5o deste artigo;
VI – os crimes contra a organização do trabalho e, nos casos determinados por
lei, contra o sistema financeiro e a ordem econômico-financeira;
VII – os habeas corpus, em matéria criminal de sua competência ou quando o
constrangimento provier de autoridade cujos atos não estejam diretamente sujeitos a
outra jurisdição;
VIII – os mandados de segurança e os habeas data contra ato de autoridade federal,
excetuados os casos de competência dos tribunais federais;
IX – os crimes cometidos a bordo de navios ou aeronaves, ressalvada a compe-
tência da Justiça Militar;
X – os crimes de ingresso ou permanência irregular de estrangeiro, a execução
de carta rogatória, após o exequatur, e de sentença estrangeira, após a homologação, as
causas referentes à nacionalidade, inclusive a respectiva opção, e à naturalização;
XI – a disputa sobre direitos indígenas.
§ 1o As causas em que a União for autora serão aforadas na seção judiciária onde
tiver domicílio a outra parte.
Da Organização dos Poderes 75
§ 2o As causas intentadas contra a União poderão ser aforadas na seção judiciária em
que for domiciliado o autor, naquela onde houver ocorrido o ato ou fato que deu origem
à demanda ou onde esteja situada a coisa, ou, ainda, no Distrito Federal.
§ 3o Serão processadas e julgadas na justiça estadual, no foro do domicílio dos segu-
rados ou beneficiários, as causas em que forem parte instituição de previdência social e
segurado, sempre que a comarca não seja sede de vara do juízo federal, e, se verificada
essa condição, a lei poderá permitir que outras causas sejam também processadas e
julgadas pela justiça estadual.
§ 4o Na hipótese do parágrafo anterior, o recurso cabível será sempre para o Tribunal
Regional Federal na área de jurisdição do juiz de primeiro grau.
§ 5o Nas hipóteses de grave violação de direitos humanos, o Procurador-Geral da
República, com a finalidade de assegurar o cumprimento de obrigações decorrentes de
tratados internacionais de direitos humanos dos quais o Brasil seja parte, poderá susci-
tar, perante o Superior Tribunal de Justiça, em qualquer fase do inquérito ou processo,
incidente de deslocamento de competência para a Justiça Federal.","Processo e Julgamento Federal (EC nº45/2004) - I, II & III)",Resumo,"União, Estado estrangeiro/Organismo internacional.","Direito Constitucional, Direito Penal","Multas. Prisão. Advertências. Habeas corpus (sem imposição de pena). Mandados de segurança e habeas data (excetuados os casos de competência dos tribunais federais, que não são consideradas penalidades em sentido estrito",1. EC (Estatuto da Criança e do Adolescente) - Lei que regula a proteção dos direitos das crianças e adolescentes no Brasil,,Lei
"Art. 110. Cada Estado, bem como o Distrito Federal, constituirá uma seção judici-
ária que terá por sede a respectiva Capital, e varas localizadas segundo o estabelecido
em lei.
Parágrafo único. Nos Territórios Federais, a jurisdição e as atribuições cometidas aos
juízes federais caberão aos juízes da justiça local, na forma da lei.
SEÇÃO V –
Dos Tribunais e Juízes do Trabalho",Tribunal Federal dos Territórios Federais,"Cada estado, Distrito Federal e Territórios Federais terão uma seção judiciária com sede na capital. Essa seção será dividida em várias varas localizadas de acordo com a lei. Em alguns territórios federais, os juízes locais assumirão as funções dos juízes federais.","Distrito Federal, Estados.","Direito Administrativo, Direito Tributário",Multas.,"1. Tribunais do Trabalho - São tribunais especializados em direito trabalhista, com competência para julgar casos relacionados a contratos de trabalho e relações laborais",,Decreto
"Art. 111. São órgãos da Justiça do Trabalho: (EC no 24/99 e EC no 45/2004)
I – o Tribunal Superior do Trabalho;
II – os Tribunais Regionais do Trabalho;
III – Juízes do Trabalho.
§ 1o (Revogado)
§ 2o (Revogado)
§ 3o (Revogado)",Tribunal Superior do Trabalho,Os órgãos da Justiça do Trabalho são,Tribunal Superior do Trabalho; Tribunais Regionais do Trabalho; Juízes do Trabalho.,"Direito Trabalhista, Direito Processual",-,"1. Tribunal Superior do Trabalho - É a instância mais alta da Justiça do Trabalho, responsável por resolver conflitos trabalhistas federais e regionais",,Decreto
"Art. 111-A. O Tribunal Superior do Trabalho compor-se-á de vinte e sete Ministros,
escolhidos dentre brasileiros com mais de trinta e cinco e menos de sessenta e cinco
anos, nomeados pelo Presidente da República após aprovação pela maioria absoluta do
Senado Federal, sendo: (EC no 45/2004)
I – um quinto dentre advogados com mais de dez anos de efetiva atividade profis-
sional e membros do Ministério Público do Trabalho com mais de dez anos de efetivo
exercício, observado o disposto no art. 94;
II – os demais dentre juízes dos Tribunais Regionais do Trabalho, oriundos da
magistratura da carreira, indicados pelo próprio Tribunal Superior.
§ 1o A lei disporá sobre a competência do Tribunal Superior do Trabalho.
§ 2o Funcionarão junto ao Tribunal Superior do Trabalho:
I – a Escola Nacional de Formação e Aperfeiçoamento de Magistrados do Trabalho,
cabendo-lhe, dentre outras funções, regulamentar os cursos oficiais para o ingresso e
promoção na carreira;
76 Constituição da República Federativa do Brasil
II – o Conselho Superior da Justiça do Trabalho, cabendo-lhe exercer, na forma
da lei, a supervisão administrativa, orçamentária, financeira e patrimonial da Justiça do
Trabalho de primeiro e segundo graus, como órgão central do sistema, cujas decisões
terão efeito vinculante.",Ministros do Tribunal Superior Trabalho (EC nº45/2004),"O Tribunal Superior do Trabalho (TST) será composto por 27 ministros. Eles devem ser brasileiros com mais de 35 anos e menos de 65, nomeados pelo presidente da República após aprovação do Senado Federal","Tribunal Superior do Trabalho, Senado Federal e Ministério Público do Trabalho.","Direito Administrativo, Direito Constitucional",Multas.,"1. Termo: Ministros - São membros do Tribunal Superior do Trabalho, responsáveis pela composição e funcionamento da corte",,Lei Ordinária
"Art. 112. A lei criará varas da Justiça do Trabalho, podendo, nas comarcas não abran-
gidas por sua jurisdição, atribuí-la aos juízes de direito, com recurso para o respectivo
Tribunal Regional do Trabalho. (EC no 24/99 e EC no 45/2004)",Varas da Justiça do Trabalho (EC),"A lei criará varas da Justiça do Trabalho, que podem ser usadas em comarcas onde a justiça trabalhista não tem jurisdição. Essa vara pode ser atribuída a juízes de direito e ter recurso para o Tribunal Regional do Trabalho.","Justiça do Trabalho, Tribunal Regional do Trabalho.","Direito Trabalhista, Direito Processual","Multas, prisão","1. Varas da Justiça do Trabalho, varia com a legislação trabalhista que regula as relações entre os empregadores e os empregados",,Decreto
"Art. 113. A lei disporá sobre a constituição, investidura, jurisdição, competência,
garantias e condições de exercício dos órgãos da Justiça do Trabalho. (EC no 24/99)",Constituição e Competência da Justiça do Trabalho,"O artigo 113 estabelece a responsabilidade da lei sobre os órgãos da Justiça do Trabalho, incluindo sua constituição, investidura e jurisdição.","Justiça do Trabalho, lei.","Direito Trabalhista, Direito Processual",-,"1. Investidura - Refere-se ao ato pelo qual alguém assume cargo ou função, especialmente em um governo ou instituição",,Decreto
